company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,118.25,113.50,114.95,112.70,2.25,2
GAIL,150.00,144.35,147.15,144.45,2.7,1.87
Maruti Suzuki,"7,315.00","7,070.00","7,249.00","7,131.60",117.4,1.65
Kotak Mahindra,"1,928.30","1,868.00","1,922.50","1,897.70",24.8,1.31
Hero Motocorp,"3,491.50","3,394.00","3,461.70","3,419.85",41.85,1.22
Nestle,"16,840.00","16,456.00","16,782.90","16,661.80",121.1,0.73
UltraTechCement,"6,944.20","6,690.50","6,810.30","6,775.55",34.75,0.51
Titan Company,"1,493.00","1,462.20","1,474.20","1,470.50",3.7,0.25
HUL,"2,209.95","2,175.25","2,201.10","2,196.90",4.2,0.19
Reliance,"2,211.95","2,153.05","2,178.70","2,175.85",2.85,0.13
Larsen,"1,477.20","1,439.10","1,463.55","1,462.60",0.95,0.06
